254.531,713.521,125.303,356.112,692.674,35.3025,426.061,297.705,200.164,703.262,848.604,466.712,720.224
235.451,787.336,500.066,661.852,988.276,1009.65,447.52,855.936,588.679,357.394,228.868,125.176,822.786
737.699,626.829,695.458,961.679,380.963,418.355,245.122,286.112,425.567,618.386,677.963,840.444,5.21274
834.216,940.568,727.102,531.935,342.469,326.035,840.195,14.1522,813.203,603.635,949.741,805.149,181.008
51.2367,776.416,1011.55,276.415,418.198,35.8009,459.947,503.105,920.683,748.667,997.546,418.842,413.822
832.108,919.26,881.988,114.435,336.415,911.828,234.074,863.034,452.163,167.748,1003.71,869.722,52.7019
322.006,639.131,838.292,61.9647,717.207,710.522,326.705,278.801,994.29,325.546,1006.2,422.689,459.04
670.646,311.744,322.446,698.566,186.153,1021.95,74.0983,669.354,919.592,113.44,99.771,703.329,145.392
713.802,1016.71,230.578,912.739,723.065,813.523,936.083,214.306,330.31,730.385,8.41052,540.617,882.62
128.884,901.724,359.968,133.711,636.787,592.867,678.957,555.765,192.999,372.541,991.547,249.779,786.356
455.786,609.704,254.537,798.154,538.272,571.017,437.448,574.888,551.618,165.106,328.094,523.785,831.913
574.606,928.356,959.624,741.1,455.203,235.829,299.233,854.303,240.302,91.7158,170.223,321.204,685.958
942.898,53.4845,215.072,449.35,433.132,899.73,672.456,968.309,141.907,665.881,484.188,891.127,663.648
646.616,299.876,744.796,46.0274,374.538,935.414,377.831,344.341,229.637,657.879,868.808,445.582,883.478
629.302,332.18,333.302,790.454,563.21,965.849,328.89,560.652,781.122,869.458,605.213,732.167,534.871
423.605,254.573,721.242,431.463,546.777,311.161,288.239,861.961,561.374,260.448,358.766,729.198,500.35
752.174,741.147,42.9543,452.369,279.376,896.198,504.764,74.6699,828.061,846.693,121.902,110.65,246.398
575.023,556.557,502.137,444.781,798.623,473.38,440.004,833.479,234.212,413.314,472.354,319.357,312.528
22.2636,733.964,768.283,356.692,875.124,193.409,943.504,203.985,133.477,519.595,440.615,399.239,160.255
306.646,724.145,552.101,628.337,514.058,915.781,852.682,167.602,162.439,722.487,144.573,985.897,177.784
